voyage_name,voyage_start_date,voyage_end_date,ship_name,operator_name,name,overview,day_number
Quest for the Antarctic Circle,13-Jan-18,23-Jan-18,Akademic Ioffe,One Ocean Expeditions ,Antarctic Peninsula,"We encourage you to spend time on the outer decks soaking up the scenery as we navigate south. We pass through the ice strewn waters making our way towards out ultimate objective, the Antarctic Circle. 

Given favorable ice conditions, our first goal will be to sail south of the Antarctic Circle and into Crystal Sound. A favored landing site here is Detaille Island, home to an abandoned British science hut from the 1950’s. This region marks our turnaround point and we return in a northerly direction exploring the dramatic coastline of theAntarctic Peninsula. 

We hope to visit a working scientific base to learn something of the important climate-related research happening here, and if the conditions allow, we will give you the opportunity to camp overnight onshore, a truly memorable experience. Petermann Island is home to an Adelie penguin rookery. The smallest of the Antarctic penguins, Adelies nest here and share the location with Gentoo penguins and Imperial cormorants. Pleneau Island offers more opportunities for shore landings. Massive icebergs run aground in the shallows and constant wind and wave action sculpt these gargantuan chunks of ice into fantastical shapes. For many, a Zodiac cruise here may well be a highlight of the voyage.",7
Quest for the Antarctic Circle,13-Jan-18,23-Jan-18,Akademic Ioffe,One Ocean Expeditions ,Antarctic Peninsula,"We encourage you to spend time on the outer decks soaking up the scenery as we navigate south. We pass through the ice strewn waters making our way towards out ultimate objective, the Antarctic Circle. 

Given favorable ice conditions, our first goal will be to sail south of the Antarctic Circle and into Crystal Sound. A favored landing site here is Detaille Island, home to an abandoned British science hut from the 1950’s. This region marks our turnaround point and we return in a northerly direction exploring the dramatic coastline of theAntarctic Peninsula. 

We hope to visit a working scientific base to learn something of the important climate-related research happening here, and if the conditions allow, we will give you the opportunity to camp overnight onshore, a truly memorable experience. Petermann Island is home to an Adelie penguin rookery. The smallest of the Antarctic penguins, Adelies nest here and share the location with Gentoo penguins and Imperial cormorants. Pleneau Island offers more opportunities for shore landings. Massive icebergs run aground in the shallows and constant wind and wave action sculpt these gargantuan chunks of ice into fantastical shapes. For many, a Zodiac cruise here may well be a highlight of the voyage.",8
Quest for the Antarctic Circle,13-Jan-18,23-Jan-18,Akademic Ioffe,One Ocean Expeditions ,South Shetland Islands & Antarctic Peninsula,"We aim to transit the Lemaire Channel on our way north towards Paradise Harbour. This may be the first opportunity to step foot on the continent of Antarctica itself. Nearby Neko Harbour offers another continental landing. Expect to be in full sensory overload by this time of the voyage. 

By morning we arrive in the South Shetland Islands. The adventure is not over and if the weather conditions allow, we sail the ship into the flooded volcanic caldera at Deception Island. This is where Australian aviation pioneer, Sir Hubert Wilkins made the very first flight in Antarctica in 1928. There are several other landing sites in the vicinity including Half Moon Island, or the broad pebbly beach at Yankee Harbour. This is another great spot for a hike or a Zodiac cruise. It’s a fitting place to reflect on a wonderful expedition.",9
Quest for the Antarctic Circle,13-Jan-18,23-Jan-18,Akademic Ioffe,One Ocean Expeditions ,South Shetland Islands & Antarctic Peninsula,"We aim to transit the Lemaire Channel on our way north towards Paradise Harbour. This may be the first opportunity to step foot on the continent of Antarctica itself. Nearby Neko Harbour offers another continental landing. Expect to be in full sensory overload by this time of the voyage. 

By morning we arrive in the South Shetland Islands. The adventure is not over and if the weather conditions allow, we sail the ship into the flooded volcanic caldera at Deception Island. This is where Australian aviation pioneer, Sir Hubert Wilkins made the very first flight in Antarctica in 1928. There are several other landing sites in the vicinity including Half Moon Island, or the broad pebbly beach at Yankee Harbour. This is another great spot for a hike or a Zodiac cruise. It’s a fitting place to reflect on a wonderful expedition.",10
Quest for the Antarctic Circle,13-Jan-18,23-Jan-18,Akademic Ioffe,One Ocean Expeditions ,Punta Arenas; Arrival,"This morning we are anchored off King George Island. We transfer to the airstrip for the two-hour flight to Punta Arenas in southern Chile. On arrival, a transfer is provided to downtown hotels. New for 2017/18: we include a complimentary hotel night in Punta Arenas at the end of the voyage for all guests returning from King George Island (starting in October 2017). This evening is at your leisure. Punta Arenas is home to some cozy restaurants, cafes and bars – including the historic ‘Shackleton Bar’ at the Hotel Jose Nogueira – a fitting location to reflect on your journey to Antarctica.",11
Ultimate Antarctica- Peninsula & Weddell Sea,23-Jan-18,3-Feb-18,Akademic Ioffe,One Ocean Expeditions ,Punta Arenas; Departure,"Our journey commences in Punta Arenas, located in southern Chile, where we board our two-hour flight across the Drake Passage to Antarctica. Upon arrival at the King George Island in Antarctica, we embark our ship via Zodiac inflatable crafts.

Ultimate Antarctica – Weddell Sea and Falkland Islands A diverse Antarctic itinerary that maximizes your time exploring magnificent Antarctica.",1
Ultimate Antarctica- Peninsula & Weddell Sea,23-Jan-18,3-Feb-18,Akademic Ioffe,One Ocean Expeditions ,Antarctic Peninsula,"Overnight we have navigated across the Bransfield Strait and awake to the towering peaks of the Antarctic continent. For the next three days we have a varied itinerary exploring the Gerlache coastline of Antarctica. 

If ice conditionsallow, we cruise through the Lemaire Channel. Planned visits might include Paradise Harbour, Orne Harbour, or Andvord Bay, or a cruise through the Errera Channel to visit the penguin rookeries at Cuverville Island. We chart a course towards Antarctic Sound – the gateway into the icy Weddell Sea. Along the way we hope to make a visit at Deception Island.",2
Ultimate Antarctica- Peninsula & Weddell Sea,23-Jan-18,3-Feb-18,Akademic Ioffe,One Ocean Expeditions ,Antarctic Peninsula,"Overnight we have navigated across the Bransfield Strait and awake to the towering peaks of the Antarctic continent. For the next three days we have a varied itinerary exploring the Gerlache coastline of Antarctica. 

If ice conditionsallow, we cruise through the Lemaire Channel. Planned visits might include Paradise Harbour, Orne Harbour, or Andvord Bay, or a cruise through the Errera Channel to visit the penguin rookeries at Cuverville Island. We chart a course towards Antarctic Sound – the gateway into the icy Weddell Sea. Along the way we hope to make a visit at Deception Island.",3
Ultimate Antarctica- Peninsula & Weddell Sea,23-Jan-18,3-Feb-18,Akademic Ioffe,One Ocean Expeditions ,Antarctic Peninsula,"Overnight we have navigated across the Bransfield Strait and awake to the towering peaks of the Antarctic continent. For the next three days we have a varied itinerary exploring the Gerlache coastline of Antarctica. 

If ice conditionsallow, we cruise through the Lemaire Channel. Planned visits might include Paradise Harbour, Orne Harbour, or Andvord Bay, or a cruise through the Errera Channel to visit the penguin rookeries at Cuverville Island. We chart a course towards Antarctic Sound – the gateway into the icy Weddell Sea. Along the way we hope to make a visit at Deception Island.",4
Ultimate Antarctica- Peninsula & Weddell Sea,23-Jan-18,3-Feb-18,Akademic Ioffe,One Ocean Expeditions ,Weddell Sea,"Navigating into the Weddell Sea, we see the vast sweep of the Antarctic icecap for the first time and will find ourselves increasingly surrounded by tabular icebergs. 

These gargantuan icebergs break from the ice shelves and drift north on the currents. This always makes for exciting navigation and stunning photographic opportunities. If weather conditions co-operate we spend the night camping in Antarctica.",5
Ultimate Antarctica- Peninsula & Weddell Sea,23-Jan-18,3-Feb-18,Akademic Ioffe,One Ocean Expeditions ,Weddell Sea,"Navigating into the Weddell Sea, we see the vast sweep of the Antarctic icecap for the first time and will find ourselves increasingly surrounded by tabular icebergs. 

These gargantuan icebergs break from the ice shelves and drift north on the currents. This always makes for exciting navigation and stunning photographic opportunities. If weather conditions co-operate we spend the night camping in Antarctica.",6
Ultimate Antarctica- Peninsula & Weddell Sea,23-Jan-18,3-Feb-18,Akademic Ioffe,One Ocean Expeditions ,Weddell Sea,"Navigating into the Weddell Sea, we see the vast sweep of the Antarctic icecap for the first time and will find ourselves increasingly surrounded by tabular icebergs. 

These gargantuan icebergs break from the ice shelves and drift north on the currents. This always makes for exciting navigation and stunning photographic opportunities. If weather conditions co-operate we spend the night camping in Antarctica.",7
Ultimate Antarctica- Peninsula & Weddell Sea,23-Jan-18,3-Feb-18,Akademic Ioffe,One Ocean Expeditions ,Elephant Island,"Point Lookout, on the southern tip of Elephant Island, is home to an impressive chinstrap penguin colony. Macaroni penguins also breed here and are a species we have yet to encounter to date. If conditions permit we may visit the fabled location of Point Wild on the north coast of Elephant Island. It is here that Shackleton and his men were encamped under their upturned life boats, before five men set off on a rescue mission to South Georgia. Landings at this location are tricky due to the currents and surf on the beach.",8
Ultimate Antarctica- Peninsula & Weddell Sea,23-Jan-18,3-Feb-18,Akademic Ioffe,One Ocean Expeditions ,Scotia Sea Crossing,"Sailing north to the Falkland Islands, the spectacular seabirds are our constant companions soaring above the ship. Our onboard educational program continues and we enjoy interactive presentations and lively discussions.",9
Ultimate Antarctica- Peninsula & Weddell Sea,23-Jan-18,3-Feb-18,Akademic Ioffe,One Ocean Expeditions ,Scotia Sea Crossing,"Sailing north to the Falkland Islands, the spectacular seabirds are our constant companions soaring above the ship. Our onboard educational program continues and we enjoy interactive presentations and lively discussions.",10
Ultimate Antarctica- Peninsula & Weddell Sea,23-Jan-18,3-Feb-18,Akademic Ioffe,One Ocean Expeditions ,Falkland Islands,"Arriving into the Falkland Islands overnight, we explore West Point or neighboring Carcass Island. These locations are best known for rockhopper penguins and nesting black browed albatross colonies. One final highlight awaits –Saunders Island, where we hope to encounter four penguin species living in close quarters, including the mighty king penguin. Charting a course for the port of Stanley tonight, we enjoy a special dinner attended by the Captain of the ship.",11
Ultimate Antarctica- Peninsula & Weddell Sea,23-Jan-18,3-Feb-18,Akademic Ioffe,One Ocean Expeditions ,Punta Arenas; Arrival ,This morning we navigate through the narrows and into the port of Stanley. We have time to explore before we make our way to the airport for our return flight to Punta Arenas in southern Chile.,12
"Falkland Islands, South Georgia & Antarctica",3-Feb-18,20-Feb-18,Akademic Ioffe,One Ocean Expeditions ,Punta Arenas; Departure,"Our journey commences this morning in Punta Arenas, where we board our flight to Stanley in the Falkland Islands. After a short 90-minute journey we are met on arrival and transferred to the pier. Stanley is home to 2,000 residents and is reminiscent of a charming, rural town in coastal Britain, full of brightly colored houses, flower-filled gardens, a quaint cathedral and several pubs. There is time to explore the town before embarkation.

Our most far reaching polar expedition visiting three stunning locations.",1
"Falkland Islands, South Georgia & Antarctica",3-Feb-18,20-Feb-18,Akademic Ioffe,One Ocean Expeditions ,Falkland Islands,"Having cruised down the eastern coastline of the Falkland Islands overnight, we are at the far south-eastern end of the archipelago. Near the barren and windswept Sea Lion Island, we launch the Zodiacs for our first shore excursion. If we enjoy good weather conditions we may be able to visit neighboring Bleaker Island, another settlement on this remote eastern coast of the Falklands. In the evening, we navigate into the Scotia Sea towards South Georgia.",2
"Falkland Islands, South Georgia & Antarctica",3-Feb-18,20-Feb-18,Akademic Ioffe,One Ocean Expeditions ,At Sea,"The seabirds join us as we leave the Falklands. Stand out on the decks watching the giant albatross and petrels as they duck and weave on the winds of the South Atlantic. Our onboard photographic guide will be able to give you tips about image composition, the subtle polar light, and the basics of good camera craft.",3
"Falkland Islands, South Georgia & Antarctica",3-Feb-18,20-Feb-18,Akademic Ioffe,One Ocean Expeditions ,At Sea,"The seabirds join us as we leave the Falklands. Stand out on the decks watching the giant albatross and petrels as they duck and weave on the winds of the South Atlantic. Our onboard photographic guide will be able to give you tips about image composition, the subtle polar light, and the basics of good camera craft.",4
"Falkland Islands, South Georgia & Antarctica",3-Feb-18,20-Feb-18,Akademic Ioffe,One Ocean Expeditions ,South Georgia,"South Georgia has often been called the ‘Serengeti of the Southern Ocean’. We explore the island from our Zodiacs. Large numbers of fur seals and the much larger elephant seal will line the dark sand beaches. 

Living in the tussock grass, king penguins and their chicks may number up to 100,000 birds in some locations. The island is also home to large numbers of nesting albatross, filling the skies above as they come and go from their nests. South Georgia is a thrilling location for history buffs: we will plan to visit the rusting relics of the early whaling industry, including several old stations, and the gravesite of the great explorer, Sir Ernest Shackleton.",5
"Falkland Islands, South Georgia & Antarctica",3-Feb-18,20-Feb-18,Akademic Ioffe,One Ocean Expeditions ,South Georgia,"South Georgia has often been called the ‘Serengeti of the Southern Ocean’. We explore the island from our Zodiacs. Large numbers of fur seals and the much larger elephant seal will line the dark sand beaches. 

Living in the tussock grass, king penguins and their chicks may number up to 100,000 birds in some locations. The island is also home to large numbers of nesting albatross, filling the skies above as they come and go from their nests. South Georgia is a thrilling location for history buffs: we will plan to visit the rusting relics of the early whaling industry, including several old stations, and the gravesite of the great explorer, Sir Ernest Shackleton.",6
"Falkland Islands, South Georgia & Antarctica",3-Feb-18,20-Feb-18,Akademic Ioffe,One Ocean Expeditions ,South Georgia,"South Georgia has often been called the ‘Serengeti of the Southern Ocean’. We explore the island from our Zodiacs. Large numbers of fur seals and the much larger elephant seal will line the dark sand beaches. 

Living in the tussock grass, king penguins and their chicks may number up to 100,000 birds in some locations. The island is also home to large numbers of nesting albatross, filling the skies above as they come and go from their nests. South Georgia is a thrilling location for history buffs: we will plan to visit the rusting relics of the early whaling industry, including several old stations, and the gravesite of the great explorer, Sir Ernest Shackleton.",7
"Falkland Islands, South Georgia & Antarctica",3-Feb-18,20-Feb-18,Akademic Ioffe,One Ocean Expeditions ,Scotia Sea Crossing,"Weather and ice will dictate our crossing of the Scotia Sea from South Georgia to Antarctica, leading us perhaps to the South Orkney Islands or Elephant Island. As with all of our itinerary planning, our expedition leader and captain will make a decision based on the conditions at the time. As we edge ever closer to the frozen continent, large icebergs announce our arrival in Antarctic waters.",8
"Falkland Islands, South Georgia & Antarctica",3-Feb-18,20-Feb-18,Akademic Ioffe,One Ocean Expeditions ,Scotia Sea Crossing,"Weather and ice will dictate our crossing of the Scotia Sea from South Georgia to Antarctica, leading us perhaps to the South Orkney Islands or Elephant Island. As with all of our itinerary planning, our expedition leader and captain will make a decision based on the conditions at the time. As we edge ever closer to the frozen continent, large icebergs announce our arrival in Antarctic waters.",9
"Falkland Islands, South Georgia & Antarctica",3-Feb-18,20-Feb-18,Akademic Ioffe,One Ocean Expeditions ,Scotia Sea Crossing,"Weather and ice will dictate our crossing of the Scotia Sea from South Georgia to Antarctica, leading us perhaps to the South Orkney Islands or Elephant Island. As with all of our itinerary planning, our expedition leader and captain will make a decision based on the conditions at the time. As we edge ever closer to the frozen continent, large icebergs announce our arrival in Antarctic waters.",10
"Falkland Islands, South Georgia & Antarctica",3-Feb-18,20-Feb-18,Akademic Ioffe,One Ocean Expeditions ,South Shetland Islands & Antarctica,"Possible landing sites in the South Shetland Island group could include King George Island, Half Moon Island, Yankee Harbour or Hannah Point. Weather conditions permitting we sail the ship into the flooded volcanic caldera of Deception Island. 

Finally, after so much anticipation, we enter the icy waters of the Antarctic Peninsula in the vicinity of Mikkelson Harbour or Cierva Cove. Snow covered mountains soar from the dark waters. Along the shoreline in the bays and harbors of the Peninsula lives an incredible abundance of wildlife. Large rookeries are home to chinstrap, gentoo and Adelie penguins. Seals live on the ice floes, including the powerful leopard seal that we hope to encounter. Gulls, skuas and cormorants are also found nesting and feeding at many sites along the Antarctic Peninsula. 

We explore by Zodiac boat and ashore, where a range of wonderful activities await: join the photographic guide and take close up photos of the penguins or the impossibly blue ice; enjoy a hike to the top of a snowy mountain saddle with one of our adventure guides; or perhaps visit a science base or an old historic hut. The sea kayakers may range up to several miles from the ship, for a truly memorable experience. Each day, you will have a range of great choices.",11
"Falkland Islands, South Georgia & Antarctica",3-Feb-18,20-Feb-18,Akademic Ioffe,One Ocean Expeditions ,South Shetland Islands & Antarctica,"Possible landing sites in the South Shetland Island group could include King George Island, Half Moon Island, Yankee Harbour or Hannah Point. Weather conditions permitting we sail the ship into the flooded volcanic caldera of Deception Island. 

Finally, after so much anticipation, we enter the icy waters of the Antarctic Peninsula in the vicinity of Mikkelson Harbour or Cierva Cove. Snow covered mountains soar from the dark waters. Along the shoreline in the bays and harbors of the Peninsula lives an incredible abundance of wildlife. Large rookeries are home to chinstrap, gentoo and Adelie penguins. Seals live on the ice floes, including the powerful leopard seal that we hope to encounter. Gulls, skuas and cormorants are also found nesting and feeding at many sites along the Antarctic Peninsula. 

We explore by Zodiac boat and ashore, where a range of wonderful activities await: join the photographic guide and take close up photos of the penguins or the impossibly blue ice; enjoy a hike to the top of a snowy mountain saddle with one of our adventure guides; or perhaps visit a science base or an old historic hut. The sea kayakers may range up to several miles from the ship, for a truly memorable experience. Each day, you will have a range of great choices.",12
"Falkland Islands, South Georgia & Antarctica",3-Feb-18,20-Feb-18,Akademic Ioffe,One Ocean Expeditions ,South Shetland Islands & Antarctica,"Possible landing sites in the South Shetland Island group could include King George Island, Half Moon Island, Yankee Harbour or Hannah Point. Weather conditions permitting we sail the ship into the flooded volcanic caldera of Deception Island. 

Finally, after so much anticipation, we enter the icy waters of the Antarctic Peninsula in the vicinity of Mikkelson Harbour or Cierva Cove. Snow covered mountains soar from the dark waters. Along the shoreline in the bays and harbors of the Peninsula lives an incredible abundance of wildlife. Large rookeries are home to chinstrap, gentoo and Adelie penguins. Seals live on the ice floes, including the powerful leopard seal that we hope to encounter. Gulls, skuas and cormorants are also found nesting and feeding at many sites along the Antarctic Peninsula. 

We explore by Zodiac boat and ashore, where a range of wonderful activities await: join the photographic guide and take close up photos of the penguins or the impossibly blue ice; enjoy a hike to the top of a snowy mountain saddle with one of our adventure guides; or perhaps visit a science base or an old historic hut. The sea kayakers may range up to several miles from the ship, for a truly memorable experience. Each day, you will have a range of great choices.",13
"Falkland Islands, South Georgia & Antarctica",3-Feb-18,20-Feb-18,Akademic Ioffe,One Ocean Expeditions ,South Shetland Islands & Antarctica,"Possible landing sites in the South Shetland Island group could include King George Island, Half Moon Island, Yankee Harbour or Hannah Point. Weather conditions permitting we sail the ship into the flooded volcanic caldera of Deception Island. 

Finally, after so much anticipation, we enter the icy waters of the Antarctic Peninsula in the vicinity of Mikkelson Harbour or Cierva Cove. Snow covered mountains soar from the dark waters. Along the shoreline in the bays and harbors of the Peninsula lives an incredible abundance of wildlife. Large rookeries are home to chinstrap, gentoo and Adelie penguins. Seals live on the ice floes, including the powerful leopard seal that we hope to encounter. Gulls, skuas and cormorants are also found nesting and feeding at many sites along the Antarctic Peninsula. 

We explore by Zodiac boat and ashore, where a range of wonderful activities await: join the photographic guide and take close up photos of the penguins or the impossibly blue ice; enjoy a hike to the top of a snowy mountain saddle with one of our adventure guides; or perhaps visit a science base or an old historic hut. The sea kayakers may range up to several miles from the ship, for a truly memorable experience. Each day, you will have a range of great choices.",14
"Falkland Islands, South Georgia & Antarctica",3-Feb-18,20-Feb-18,Akademic Ioffe,One Ocean Expeditions ,South Shetland Islands & Antarctica,"Possible landing sites in the South Shetland Island group could include King George Island, Half Moon Island, Yankee Harbour or Hannah Point. Weather conditions permitting we sail the ship into the flooded volcanic caldera of Deception Island. 

Finally, after so much anticipation, we enter the icy waters of the Antarctic Peninsula in the vicinity of Mikkelson Harbour or Cierva Cove. Snow covered mountains soar from the dark waters. Along the shoreline in the bays and harbors of the Peninsula lives an incredible abundance of wildlife. Large rookeries are home to chinstrap, gentoo and Adelie penguins. Seals live on the ice floes, including the powerful leopard seal that we hope to encounter. Gulls, skuas and cormorants are also found nesting and feeding at many sites along the Antarctic Peninsula. 

We explore by Zodiac boat and ashore, where a range of wonderful activities await: join the photographic guide and take close up photos of the penguins or the impossibly blue ice; enjoy a hike to the top of a snowy mountain saddle with one of our adventure guides; or perhaps visit a science base or an old historic hut. The sea kayakers may range up to several miles from the ship, for a truly memorable experience. Each day, you will have a range of great choices.",15
"Falkland Islands, South Georgia & Antarctica",3-Feb-18,20-Feb-18,Akademic Ioffe,One Ocean Expeditions ,Drake Passage,"After several busy days of exploration along the Antarctic Peninsula, it’s time to return to South America. If weather conditions allow, we hope to make a rounding of Cape Horn. This fabled stretch of water is home to legendary tales of exploration and early navigation. It’s a fitting place to reflect on a wonderful expedition to some of the most remote corners of the planet.",16
"Falkland Islands, South Georgia & Antarctica",3-Feb-18,20-Feb-18,Akademic Ioffe,One Ocean Expeditions ,Drake Passage,"After several busy days of exploration along the Antarctic Peninsula, it’s time to return to South America. If weather conditions allow, we hope to make a rounding of Cape Horn. This fabled stretch of water is home to legendary tales of exploration and early navigation. It’s a fitting place to reflect on a wonderful expedition to some of the most remote corners of the planet.",17
"Falkland Islands, South Georgia & Antarctica",3-Feb-18,20-Feb-18,Akademic Ioffe,One Ocean Expeditions ,Ushuaia; Disembarkation,"In the early morning, we arrive into Ushuaia, Argentina. Guests will be transported to their hotels or to the airport for return flights home.",18
Antarctica Peninsula Adventure,20-Feb-18,2-Mar-18,Akademic Ioffe,One Ocean Expeditions ,Ushuaia; Embarkation Day,"Arrive in Ushuaia, Argentina, the world’s most southerly city, where you board your expedition ship. In the early evening we set sail along the Beagle Channel and push out into the Drake Passage, direction Antarctica.

One of our most popular voyages, this tour of Antarctica takes in all the highlights of the spectacular Antarctic for a once in a lifetime adventure.",1
Antarctica Peninsula Adventure,20-Feb-18,2-Mar-18,Akademic Ioffe,One Ocean Expeditions ,Drake Passage,"Giant petrels, albatross and smaller Cape petrels are our companions as we transit the Drake Passage. Join the ship’s Captain on the bridge and learn about the operations of our modern research vessel. Throughout the day our onboard experts educate us with a series of presentations about the environment, wildlife and history.",2
Antarctica Peninsula Adventure,20-Feb-18,2-Mar-18,Akademic Ioffe,One Ocean Expeditions ,Drake Passage,"Giant petrels, albatross and smaller Cape petrels are our companions as we transit the Drake Passage. Join the ship’s Captain on the bridge and learn about the operations of our modern research vessel. Throughout the day our onboard experts educate us with a series of presentations about the environment, wildlife and history.",3
Antarctica Peninsula Adventure,20-Feb-18,2-Mar-18,Akademic Ioffe,One Ocean Expeditions ,South Shetland Islands & Antarctica,"Take a deep breath – you have arrived. 

Welcome to Antarctica! This morning the magnificent snowy peaks are laid out before us. It’s a a truly awesome sight. The waterways of the Antarctic Peninsula are home to deep bays, pristine coves and inlets and numerous small islands. 

The Gerlache coastline features heavily glaciated mountains permanently covered in ice and snow. Rocky outcrops are home to gentoo, adelie and chinstrap penguin rookeries and the waters are rich in marine life. We frequently encounter seals, including the powerful leopard seal. Curious humpback whales and the smaller minke whales are present much of the time as they feed on the vast schools of krill. Sightings of orca are not uncommon. 

Every day we plan an exciting range of activities including guided hikes on shore and visits to wildlife colonies with our expert naturalist guides. The historic huts and science stations located along the peninsula provide a fascinating glimpse into the past and potential future. Zodiac cruising among the ice searching for seals and whales is amemorable activity. Meanwhile, the sea kayakers may range several miles from the ship. 

Our resident photography guide will be on hand to help you with your camera setting and image composition. Somewhere along this stretch of coastline we plan a night on shore, camping in Antarctica. We have all the right gear and equipment and an expert team to make it happen - all you need is an adventurous spirit!",4
Antarctica Peninsula Adventure,20-Feb-18,2-Mar-18,Akademic Ioffe,One Ocean Expeditions ,South Shetland Islands & Antarctica,"Take a deep breath – you have arrived. 

Welcome to Antarctica! This morning the magnificent snowy peaks are laid out before us. It’s a a truly awesome sight. The waterways of the Antarctic Peninsula are home to deep bays, pristine coves and inlets and numerous small islands. 

The Gerlache coastline features heavily glaciated mountains permanently covered in ice and snow. Rocky outcrops are home to gentoo, adelie and chinstrap penguin rookeries and the waters are rich in marine life. We frequently encounter seals, including the powerful leopard seal. Curious humpback whales and the smaller minke whales are present much of the time as they feed on the vast schools of krill. Sightings of orca are not uncommon. 

Every day we plan an exciting range of activities including guided hikes on shore and visits to wildlife colonies with our expert naturalist guides. The historic huts and science stations located along the peninsula provide a fascinating glimpse into the past and potential future. Zodiac cruising among the ice searching for seals and whales is amemorable activity. Meanwhile, the sea kayakers may range several miles from the ship. 

Our resident photography guide will be on hand to help you with your camera setting and image composition. Somewhere along this stretch of coastline we plan a night on shore, camping in Antarctica. We have all the right gear and equipment and an expert team to make it happen - all you need is an adventurous spirit!",5
Antarctica Peninsula Adventure,20-Feb-18,2-Mar-18,Akademic Ioffe,One Ocean Expeditions ,South Shetland Islands & Antarctica,"Take a deep breath – you have arrived. 

Welcome to Antarctica! This morning the magnificent snowy peaks are laid out before us. It’s a a truly awesome sight. The waterways of the Antarctic Peninsula are home to deep bays, pristine coves and inlets and numerous small islands. 

The Gerlache coastline features heavily glaciated mountains permanently covered in ice and snow. Rocky outcrops are home to gentoo, adelie and chinstrap penguin rookeries and the waters are rich in marine life. We frequently encounter seals, including the powerful leopard seal. Curious humpback whales and the smaller minke whales are present much of the time as they feed on the vast schools of krill. Sightings of orca are not uncommon. 

Every day we plan an exciting range of activities including guided hikes on shore and visits to wildlife colonies with our expert naturalist guides. The historic huts and science stations located along the peninsula provide a fascinating glimpse into the past and potential future. Zodiac cruising among the ice searching for seals and whales is amemorable activity. Meanwhile, the sea kayakers may range several miles from the ship. 

Our resident photography guide will be on hand to help you with your camera setting and image composition. Somewhere along this stretch of coastline we plan a night on shore, camping in Antarctica. We have all the right gear and equipment and an expert team to make it happen - all you need is an adventurous spirit!",6
Antarctica Peninsula Adventure,20-Feb-18,2-Mar-18,Akademic Ioffe,One Ocean Expeditions ,South Shetland Islands & Antarctica,"Take a deep breath – you have arrived. 

Welcome to Antarctica! This morning the magnificent snowy peaks are laid out before us. It’s a a truly awesome sight. The waterways of the Antarctic Peninsula are home to deep bays, pristine coves and inlets and numerous small islands. 

The Gerlache coastline features heavily glaciated mountains permanently covered in ice and snow. Rocky outcrops are home to gentoo, adelie and chinstrap penguin rookeries and the waters are rich in marine life. We frequently encounter seals, including the powerful leopard seal. Curious humpback whales and the smaller minke whales are present much of the time as they feed on the vast schools of krill. Sightings of orca are not uncommon. 

Every day we plan an exciting range of activities including guided hikes on shore and visits to wildlife colonies with our expert naturalist guides. The historic huts and science stations located along the peninsula provide a fascinating glimpse into the past and potential future. Zodiac cruising among the ice searching for seals and whales is amemorable activity. Meanwhile, the sea kayakers may range several miles from the ship. 

Our resident photography guide will be on hand to help you with your camera setting and image composition. Somewhere along this stretch of coastline we plan a night on shore, camping in Antarctica. We have all the right gear and equipment and an expert team to make it happen - all you need is an adventurous spirit!",7
Antarctica Peninsula Adventure,20-Feb-18,2-Mar-18,Akademic Ioffe,One Ocean Expeditions ,South Shetland Islands & Antarctica,"After several busy days of exploration along the Antarctic Peninsula, we head for the South Shetland Islands. 

If the weather conditions allow, we sail the ship into the flooded volcanic caldera at Deception Island, a very dramatic location. History is all around us as we explore the old whaling station, with its rusted relics and dilapidated wooden buildings.",8
Antarctica Peninsula Adventure,20-Feb-18,2-Mar-18,Akademic Ioffe,One Ocean Expeditions ,Drake Passage,"As we make our way back to South America, the educational presentations continue and we enjoy an entertaining and memorable voyage recap by our Expedition Leader. If weather conditions allow, we hope to make a rounding of Cape Horn. It’s a fitting place to reflect on a wonderful expedition. Approaching the entrance to the Beagle Channel in early evening light, we enjoy a special dinner attended by the Captain of the ship.",9
Antarctica Peninsula Adventure,20-Feb-18,2-Mar-18,Akademic Ioffe,One Ocean Expeditions ,Drake Passage,"As we make our way back to South America, the educational presentations continue and we enjoy an entertaining and memorable voyage recap by our Expedition Leader. If weather conditions allow, we hope to make a rounding of Cape Horn. It’s a fitting place to reflect on a wonderful expedition. Approaching the entrance to the Beagle Channel in early evening light, we enjoy a special dinner attended by the Captain of the ship.",10
Antarctica Peninsula Adventure,20-Feb-18,2-Mar-18,Akademic Ioffe,One Ocean Expeditions ,Ushuaia; Disembarkation,"In the early morning, we arrive into Ushuaia. It is time to say farewell to your crew and fellow travelers. Guests will be transported to their hotels or to the airport for return flights home.",11
Antarctica Peninsula Adventure,2-Mar-18,12-Mar-18,Akademic Ioffe,One Ocean Expeditions ,Ushuaia; Embarkation Day,"Arrive in Ushuaia, Argentina, the world’s most southerly city, where you board your expedition ship. In the early evening we set sail along the Beagle Channel and push out into the Drake Passage, direction Antarctica.

One of our most popular voyages, this tour of Antarctica takes in all the highlights of the spectacular Antarctic for a once in a lifetime adventure.",1
Antarctica Peninsula Adventure,2-Mar-18,12-Mar-18,Akademic Ioffe,One Ocean Expeditions ,Drake Passage,"Giant petrels, albatross and smaller Cape petrels are our companions as we transit the Drake Passage. Join the ship’s Captain on the bridge and learn about the operations of our modern research vessel. Throughout the day our onboard experts educate us with a series of presentations about the environment, wildlife and history.",2
